URL || System Output || ODP Ground Truth
http://coachcyrus.wordpress.com/ || Fee-based online coaching site with instruction from 10 21 . Includes articles and features , more than 1,200 videos , and a swing school using v1 pro software video analysis . || General coaching advice , news about Poncha 's Bombay juniors programs , India juniors team , Head Indian rankings .
http://eppingcc.hitscricket.com/home/default.aspx || Includes news , history , fixtures . Results and photographs for the club based in Epping , ESSEX . || Includes news , history , fixtures , results and photographs for the club based in Essex .
http://www.thorndonclub.co.nz || Located in Wellington . Monthly league and tournament information , newsletter , activities and contact information . || A tennis and squash club in Wellington , New Zealand . Includes coaching and membership information .
http://www.skrenta.com/a2/ || An Apple ii emulator in development for the a2 . || The C source for an Apple II emulator .
http://www.xs4all.nl/~mwijand/Hammer/ || Xs4all.nl 194.109 site for 888 , rankings and competition information . || Articles and analysis about hammerthrowing . Site in both Dutch and English .
http://www.heldermann.de/journals.htm || Mathematics and statistics : heldermann . || 9 mathematics titles .
http://catakig.sourceforge.net/ || An Apple emulator created by members of the Catakig . Also , fta demos , games and tools that run in the emulator . || Mac-hosted emulator of the Apple ] [ + , and / / e. Rationale , screenshots and downloads .
http://www.goldenwestinvitational.org/ || Held in folsom , Golden West Invitational is the nation 's premier indoor track and field event for high school athletes . || Official site of the Golden West Association 's top high school meet for America . Historical information and current news also included .
http://www.hope.edu/pr/athletics/mtr/ || Hope College site . News , schedule , roster , coaching staff , history , school records , and past season information . || Flying Dutchmen official site . News , schedule , roster , coaching staff , history , school records , and past season information .
http://www.lornah.com/ || An unofficial home page on this Langerhorst distance runner || Background and news articles on distance runner Lornah Kiplagat and the High Altitude Training Center .
http://sourceforge.net/projects/atari800/ || An open source 130xl , 400 , 10 , 800 , 800XL , and 5200 emulator for unix and windows . || An open source 800 , 800XL , 130XE and 5200 emulator for BeOS/x86 , DOS , Linux , TOS , Unix , Windows , and Windows CE .
http://www.hersquash.co.uk || Information on facilities , including tennis and fitness suite , membership and news updates . Located in Hull , Yorkshire , Brough . || Based in Hull , East Yorkshire , England . Includes a history of the club , information on facilities , membership , coaching and leagues .
http://www.icongames.com.br/msxfiles/redmsx/ || An open source emulator for windows . || An open source emulator for Windows based on blueMSX .
http://www.zimmers.net/anonftp/pub/cbm/crossplatform/emulators/msdos/pc64/PC64-en.html || C64 emulator for msdos , Windows and linux/unix . Shareware . || C64 emulator for MS-DOS and Windows . Development stopped in 1997 but the source code and executables are available for free .
http://www.freebyte.com || Lists of links to free samples , freeware , and web free stuff . Also lists contests and TreePad . || Links to free software , shareware , games , screen savers , and web tools .
http://www.baseballsoftballuk.com || Official site includes news , competition results , the history of the sport in london , and information about the Internet AG team . || Official site provides news and information about the national team , junior and youth leagues . Online shop .
http://www.mayb.com || Texas-based youth basketball designed to serve as many youth in the community as possible , who are interested in the game of basketball . || Kansas-based summer youth basketball . Over 2200 teams from throughout the United States currently participating .
http://www.ebasketballcamps.com/ || EBASKETBALLCAMPS.COM weeks of basketball instruction and games for boys and girls stupendousdomains through 8 . Camps run from june through august in northern california . || Boys and Girls ages 8-18 . Located in NY and Boston . Now in our 10th year of serving America 's youth .
http://www.nsrc.co.uk/ || Information on facilities , including tennis and fitness suite , membership and news updates . Located in Park , Nottingham , Oxford . || Includes club information , news , results and membership details , along with a county association area and extra pages for club members .
http://ninsei.emuunlim.com/bbc_connect_info.html || A commercial bbc/master/compact / electron emulator for risc os 3.1 or above . || A freeware Windows front-end for the BBC emulators BeebEm , B-Em , PcBBC and the Electron emulator ElectrEm .
http://coalaston.play-cricket.com/home/home.asp || Information , fixtures , results and contact details for the Coal Aston based village club . || Includes Fixtures , results , news , and contact information for the Derbyshire based club .
http://www.brownbears.com/sports/w-squash/index || A schedule of games , past results , roster , player biographies and coaching staff for the men 's and women 's teams . Sports are also included . || Bears . Pictures , news items , schedule of upcoming games with results and player profiles .
http://www.spalding-squash.co.uk || Information on facilities , leagues , teams and membership . Located in Spalding , Oxford , england . || Information on facilities and membership . Located in Spalding , Lincolnshire .
http://www.keystoneweb.com/ || Offers design and consulting services . Based in first . || Offering design , hosting and Internet marketing services . Based in Pennsylvania .
http://www4.ncsu.edu/~hong/jsc.htm || Quarterly that discusses multidisciplinary approaches to the study of North Carolina State University . Online version of the current issue is available , along with ordering information for the print version . Includes full research articles as well as letters and reviews . From world scientific . || Editor 's site . Author information , calls for special issues .
http://www.pakpassion.net || Provides statistics , news and information about players and matches . || Features news , views , reports and discussion forum .
http://www.ucdavisaggies.com/sports/w-lacros/ucda-w-lacros-body.html || Sports . Includes schedule with results , roster and news . || Aggies . Includes schedule with results , roster , media guide and news .
http://fms.komkon.org/fMSX/ || An open source sdl port of fmsx for beos , Linux , and Windows . || Commercial emulator for DOS and Windows . Open Source emulator for Unix . Ports are available for BeOS , DOS , MacOS , OS/2 , and Windows .
http://www.brandeisjudges.com/sports/winter/mhoops/index || Official site of the Tartans . Contains news , schedules , a team roster , statistics , and a biography of the coach . || Official site of the Judges . News , rosters , schedules , and statistics .
http://www.thecrimson.com/ || Twice-weekly student newspaper of the Harvard in Cambridge . || Daily student newspaper of Harvard University in Cambridge .
http://www.gomustangsports.com/sports/wlax/index || Cross Country . Schedule of games with results , player roster and biographies , coaching staff , pictures and season preview . || Mustangs . Recruiting information , pictures , results , roster and coaching staff .
http://www.taborbluejays.com/sport/6/12.php || Bluejay men 's official site . Schedule , roster , coaching staff , eskimo olympics , recruiting questionnaire , and 68 information . || Bluejay women 's official site . Schedule , roster , coaching staff , Eskimo Olympics , recruiting questionnaire , and past season information .
http://athletics.goucher.edu/sports/ouwtrack/index || Eagle women s official site . Coaching staff , roster , schedule , results , school records , past season information , and links . || News , roster , schedule , results and links for the Gopher men .
http://www.cnyelc.com/ || Located in baldwinsville with a guestbook , past results , calendar of events , practice details , directions , player roster , pictures and related links . || Roster , tournaments , photographs , and links .
http://www.malverntigers.org || For players , parents , coaches and administrators within the club . Melbourne . || Announcements , photos , membership and volunteer information . Local club .
http://emul5.thomsonistes.org/ || A port of emul5 , a thomsonistes , for macos . || An open source MO5 emulator for DOS and Linux .
http://www.pdmi.ras.ru/EIMI/2005/AG/ || 2005 . Pacific institute of mathematics , simon fraser university , vancouver , bc , canada ; 17 -- 28 june 2002 . || Euler International Mathematical Institute , St Petersburg , Russia ; 17 -- 23 June 2005 .
http://www.research.att.com/areas/stat/ || Statistical programming , consulting , and research . || Statistical research .
http://sourceforge.net/projects/dapple/ || A shareware , and / e emulator for macos x. || Features Dapple and NDapple , two open source ] [ + , and 64K / / e emulators for DOS , and Dapple2 an open source 128K / / e emulator for DOS .
http://www.athleticsalberta.com/ || Provincial organizing body for track and field , cross country running , race walking , and road racing . News , programs , calendar , results , records and rankings . || The Provincial organizing body for track and field , cross country and road running in Alberta , Canada . Programs , news and results .
http://www.uksquashonline.com/ || Professional squash coaching in com and Tosa , LLC , wildwestdomains . Beginner and intermediates taught shots , movement , tactics and rules . || Offers primarily video-based squash instruction and drills to improve technical and mental skills and physical fitness .
http://www.x10inc.com/ || Freelance web design , and graphic art for businesses . Specializing in flash , web application programming , and e-commerce . || Full service marketing and graphic design agency . Services , portfolio , and contact information .
http://www.cricinfo.com/india/content/player/29264.html || Offers player profile , photos , News and statistics . || Player profile , news , records and photos .
http://www.elsevier.com/wps/find/journaldescription.cws_home/270/description || A Journal of IFAC , the International Federation of Automatic Control . Tables of contents from vol .31 . Full text to subscribers . || A journal of IFAC , the International Federation of Automatic Control . Tables of contents from vol .31 . Full text to subscribers .
http://www.wesleyan.edu/athletics/mlacrosse/ || Wesleyan University . Coaching staff , player roster , scoreboard , weekly game review , season summary and recruiting details . || Cardinals . Provides game summaries , schedule , coaching staff , player roster , season outlook , records , statistics , and pictures .
http://www.soonersports.com/sports/c-track/okla-c-track-body.html || Sooners site . News , schedule , results , roster , coaching staff , season bests , school records , history , pictures , kansas relays information , camps , and past season information . || Sooner news , schedule , results , roster , coaching staff , recruiting questionnaire , and past season information .
http://www.wju.edu/athletics/lax/ || CARDINALS . Roster , player biographies , pictures , game listing with results and coaching staff . || Cardinals . Roster , player biographies , pictures , game listing with results and coaching staff .
http://www.goleopards.com/sports/c-track/lafa-c-track-body.html || Midshipmen men 's official site . News , schedule , results , roster , coaching staff , school records , and past season information . || Cougar men 's official site . News , roster , coaching staff , schedule , results , and past season information .
http://www.cricfever.com || Cricket discussion forum and blogs . || A discussion forum featuring videos and blogs
http://www.ocgsl.org || Girls fastpitch organization from California . 2007 16u national champions and 12u state champions . || Girls fastpitch from Anaheim , California .
http://indigo.ie/~alsc || Located in indigo . Monthly league and tournament information , newsletter , activities and contact information . || Team consisting of employees of AerLingus and AerRianta in Dublin , Ireland . Includes membership details , league information , ladders , message board , and upcoming events .
http://www.imperium.ca || A small family oriented network . Site contains details of staff , network bots and services , News , rules and web based Imperium . || Offers a wide variety of services including forums , FAQ , clients , and projects .
http://www.littleeast.com/sports/wtrack-indoor/index || LEC women 's outdoor official site . Current and past championship results . || LEC women 's indoor official site . Current and past championship results .
http://www.humberetc.com/ || Independent student weekly of ryerson university in Toronto . || Student weekly of Humber College , Toronto .
http://www.travelinfo.gr/cards || A collection of buildings and statues from RIPE Database Query Service and 10 . || Features ecards from Greek islands .
http://athletics.trincoll.edu/sports/wsquash/index || Profiles of the coach and assistant coach , team roster with member photographs , game schedule , match results and facilities . || Recruiting information , pictures , roster , game schedule , past results and statistics .
http://www.trentvale.org.uk/ || Located in Nottingham , England . Includes coaching details , leagues , fixtures and results , and a listing of fees . || Located in Beeston Rylands , Nottinghamshire , England . Open to all ages and levels of skill . Includes a mailing list , details on how to book courts , and fixtures .
http://icwales.icnetwork.co.uk/0700sports/0300cricket/ || Provides news , interviews , photos , videos , forums , polls and games for walesonline fans . || Provides online coverage of Welsh news , business news , sport , what 's on , jobs in Wales , forums and more .
http://bachelor.wabash.edu/ || Student weekly of Wabash in Crawfordsville . || Student weekly of Wabash College in Crawfordsville .
http://www.gonzagabulletin.com/ || Student weekly of eastern washington university in cheney . || Official student weekly of Gonzaga University in Spokane .
http://dailybeacon.utk.edu/ || Student weekly of the University of Tennessee at Martin . || Online version of the student newspaper .
http://www.lhcc.org/ || Includes news , history , fixtures , results , averages and photographs for the club based in Chesham . || Includes results , fixtures , averages , records and league tables for the Buckinghamshire based club .
http://www.tigerweekly.com/ || Student newspaper of southern university in Baton Rouge . || Independent newspaper serving Louisiana State University in Baton Rouge .
http://front.math.ucdavis.edu/math.FA || A collection of examples in functional analysis and operator theory . || Searchable listing of preprints in the ArXiv math.FA , organized by year since 1992 .
